train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,val_MASE,train_loss_epoch
7.333750247955322,0,49,,,,,,,
7.193829536437988,0,99,,,,,,,
7.327687740325928,0,149,,,,,,,
6.292973518371582,0,199,,,,,,,
4.091455936431885,0,249,,,,,,,
3.499276638031006,0,299,,,,,,,
,0,324,3.399991512298584,0.053187184035778046,15.814159393310547,67.46465301513672,0.05466258153319359,4.295645713806152,
,0,324,,,,,,,6.3308210372924805
3.303144931793213,1,349,,,,,,,
3.588355302810669,1,399,,,,,,,
3.752403974533081,1,449,,,,,,,
3.2748866081237793,1,499,,,,,,,
3.0816707611083984,1,549,,,,,,,
2.7718212604522705,1,599,,,,,,,
2.551666498184204,1,649,,,,,,,
,1,649,2.567347526550293,0.020834559574723244,5.481115818023682,22.334152221679688,0.020768729969859123,1.718676209449768,
,1,649,,,,,,,3.1779720783233643
2.5638890266418457,2,699,,,,,,,
2.2733936309814453,2,749,,,,,,,
2.238666534423828,2,799,,,,,,,
2.4396402835845947,2,849,,,,,,,
2.3052406311035156,2,899,,,,,,,
2.2018609046936035,2,949,,,,,,,
,2,974,2.086185932159424,0.0134935537353158,3.3706398010253906,13.343399047851562,0.01342936884611845,1.113741397857666,
,2,974,,,,,,,2.363069772720337
2.2302212715148926,3,999,,,,,,,
2.130094051361084,3,1049,,,,,,,
2.157165050506592,3,1099,,,,,,,
2.1980462074279785,3,1149,,,,,,,
2.0485610961914062,3,1199,,,,,,,
2.0569450855255127,3,1249,,,,,,,
2.088711977005005,3,1299,,,,,,,
,3,1299,2.0098719596862793,0.012820658273994923,3.104260206222534,12.060354232788086,0.012778160162270069,1.0525212287902832,
,3,1299,,,,,,,2.165595293045044
2.1045403480529785,4,1349,,,,,,,
2.051466703414917,4,1399,,,,,,,
1.9975173473358154,4,1449,,,,,,,
2.0517261028289795,4,1499,,,,,,,
1.8736999034881592,4,1549,,,,,,,
2.17535138130188,4,1599,,,,,,,
,4,1624,2.0042154788970947,0.012765888124704361,3.076643228530884,11.827546119689941,0.012715660035610199,1.0462135076522827,
,4,1624,,,,,,,2.113830804824829
