epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_loss
0,49,,152.0581512451172,,,,,,
0,99,,163.8102569580078,,,,,,
0,149,,157.46905517578125,,,,,,
0,199,,155.05763244628906,,,,,,
0,249,,170.31521606445312,,,,,,
0,299,,156.77088928222656,,,,,,
0,349,,163.97618103027344,,,,,,
0,399,,140.2872772216797,,,,,,
0,424,,,2.269737482070923,0.013792076148092747,1.0437064170837402,5.809329986572266,0.013813907280564308,160.23719787597656
0,424,158.0725860595703,,,,,,,
1,449,,153.5960235595703,,,,,,
1,499,,165.38418579101562,,,,,,
1,549,,150.110107421875,,,,,,
1,599,,140.28509521484375,,,,,,
1,649,,156.43136596679688,,,,,,
1,699,,175.3133087158203,,,,,,
1,749,,143.0229034423828,,,,,,
1,799,,172.4933624267578,,,,,,
1,849,,162.9158935546875,,,,,,
1,849,,,2.229668378829956,0.013639423064887524,1.0268288850784302,5.748815059661865,0.01365327462553978,159.78953552246094
1,849,157.4855499267578,,,,,,,
2,899,,169.13328552246094,,,,,,
2,949,,153.5259552001953,,,,,,
2,999,,167.8626708984375,,,,,,
2,1049,,151.890380859375,,,,,,
2,1099,,159.66514587402344,,,,,,
2,1149,,137.25704956054688,,,,,,
2,1199,,172.9652557373047,,,,,,
2,1249,,168.55592346191406,,,,,,
2,1274,,,2.2927560806274414,0.013912278227508068,1.049712896347046,5.8914031982421875,0.01392466388642788,158.870361328125
2,1274,157.03204345703125,,,,,,,
3,1299,,146.697998046875,,,,,,
3,1349,,134.275634765625,,,,,,
3,1399,,160.9928436279297,,,,,,
3,1449,,139.3759002685547,,,,,,
3,1499,,141.7301483154297,,,,,,
3,1549,,169.14987182617188,,,,,,
3,1599,,147.11306762695312,,,,,,
3,1649,,137.18641662597656,,,,,,
3,1699,,138.75537109375,,,,,,
3,1699,,,2.229584217071533,0.013489171862602234,1.0232166051864624,5.753173828125,0.01351094152778387,158.57205200195312
3,1699,156.6195831298828,,,,,,,
4,1749,,234.3614959716797,,,,,,
4,1799,,153.10240173339844,,,,,,
4,1849,,140.00254821777344,,,,,,
4,1899,,154.5095672607422,,,,,,
4,1949,,167.63595581054688,,,,,,
4,1999,,168.47689819335938,,,,,,
4,2049,,175.0470733642578,,,,,,
4,2099,,174.4397735595703,,,,,,
4,2124,,,2.2469263076782227,0.013788673095405102,1.0444022417068481,5.791624069213867,0.01381126418709755,158.38690185546875
4,2124,156.35707092285156,,,,,,,
