epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_loss
0,49,,2.57020902633667,,,,,,
0,99,,2.344728708267212,,,,,,
0,149,,2.3584961891174316,,,,,,
0,199,,2.436829090118408,,,,,,
0,249,,2.3383610248565674,,,,,,
0,299,,2.134220600128174,,,,,,
0,324,,,3.1166365146636963,0.012866556644439697,1.0426901578903198,11.679957389831543,0.012848159298300743,2.014467716217041
0,324,2.4702703952789307,,,,,,,
1,349,,2.0640549659729004,,,,,,
1,399,,2.0511555671691895,,,,,,
1,449,,2.247509717941284,,,,,,
1,499,,2.030994415283203,,,,,,
1,549,,2.2167952060699463,,,,,,
1,599,,2.1207435131073,,,,,,
1,649,,2.05649995803833,,,,,,
1,649,,,3.024425983428955,0.012459090910851955,1.0175652503967285,11.779219627380371,0.012474162504076958,1.9884238243103027
1,649,2.1123361587524414,,,,,,,
2,699,,2.014252185821533,,,,,,
2,749,,2.2624311447143555,,,,,,
2,799,,1.992979645729065,,,,,,
2,849,,1.905901312828064,,,,,,
2,899,,2.1865220069885254,,,,,,
2,949,,1.9498577117919922,,,,,,
2,974,,,3.0943338871002197,0.01282263733446598,1.0550743341445923,11.79061222076416,0.012868670746684074,2.01548433303833
2,974,2.0791478157043457,,,,,,,
3,999,,2.117577314376831,,,,,,
3,1049,,2.0085766315460205,,,,,,
3,1099,,2.276409387588501,,,,,,
3,1149,,2.1275298595428467,,,,,,
3,1199,,2.2130050659179688,,,,,,
3,1249,,1.9549376964569092,,,,,,
3,1299,,2.1021599769592285,,,,,,
3,1299,,,3.040090560913086,0.012666203081607819,1.0360442399978638,11.81959342956543,0.01269135344773531,1.9972065687179565
3,1299,2.0628583431243896,,,,,,,
4,1349,,2.2733607292175293,,,,,,
4,1399,,2.1115798950195312,,,,,,
4,1449,,1.9668121337890625,,,,,,
4,1499,,2.0415496826171875,,,,,,
4,1549,,2.172002077102661,,,,,,
4,1599,,2.127732038497925,,,,,,
4,1624,,,3.0830817222595215,0.012634304352104664,1.0308300256729126,12.537643432617188,0.012645725160837173,1.9978368282318115
4,1624,2.0401058197021484,,,,,,,
5,1649,,2.1546730995178223,,,,,,
5,1699,,2.066783905029297,,,,,,
5,1749,,2.1279921531677246,,,,,,
5,1799,,2.0285255908966064,,,,,,
5,1849,,2.1243062019348145,,,,,,
5,1899,,2.018768548965454,,,,,,
5,1949,,2.019228935241699,,,,,,
5,1949,,,3.1903042793273926,0.013085437938570976,1.069441556930542,12.199675559997559,0.013148813508450985,2.0247466564178467
5,1949,2.034396171569824,,,,,,,
6,1999,,1.9757007360458374,,,,,,
6,2049,,1.917962670326233,,,,,,
6,2099,,2.132908821105957,,,,,,
6,2149,,1.9088760614395142,,,,,,
6,2199,,2.083066701889038,,,,,,
6,2249,,2.0507798194885254,,,,,,
6,2274,,,3.0661611557006836,0.0126911960542202,1.0362472534179688,12.412081718444824,0.012710118666291237,1.9904556274414062
6,2274,2.0158731937408447,,,,,,,
7,2299,,2.077402114868164,,,,,,
7,2349,,2.0220234394073486,,,,,,
7,2399,,1.9823825359344482,,,,,,
7,2449,,2.0322086811065674,,,,,,
7,2499,,2.0554473400115967,,,,,,
7,2549,,2.0320284366607666,,,,,,
7,2599,,1.8833837509155273,,,,,,
7,2599,,,3.099827766418457,0.01315067894756794,1.0732671022415161,11.553125381469727,0.013219613581895828,2.0469534397125244
7,2599,2.008172035217285,,,,,,,
8,2649,,1.9431514739990234,,,,,,
8,2699,,1.9607982635498047,,,,,,
8,2749,,2.1219005584716797,,,,,,
8,2799,,2.0756821632385254,,,,,,
8,2849,,1.9482063055038452,,,,,,
8,2899,,1.9384307861328125,,,,,,
8,2924,,,3.073183536529541,0.012704422697424889,1.0450299978256226,11.83704948425293,0.012732349336147308,2.0079193115234375
8,2924,1.996228814125061,,,,,,,
9,2949,,1.9193710088729858,,,,,,
9,2999,,1.9407732486724854,,,,,,
9,3049,,1.933956503868103,,,,,,
9,3099,,1.9951874017715454,,,,,,
9,3149,,2.039041042327881,,,,,,
9,3199,,2.024216651916504,,,,,,
9,3249,,2.0817627906799316,,,,,,
9,3249,,,3.146507740020752,0.013020487502217293,1.07029128074646,11.74614143371582,0.0130839254707098,2.031924247741699
9,3249,1.98591947555542,,,,,,,
10,3299,,2.140974521636963,,,,,,
10,3349,,1.991756796836853,,,,,,
10,3399,,1.8413848876953125,,,,,,
10,3449,,1.9875202178955078,,,,,,
10,3499,,1.9912189245224,,,,,,
10,3549,,1.9433917999267578,,,,,,
10,3574,,,3.217575788497925,0.01341747585684061,1.0810407400131226,12.67643928527832,0.013488756492733955,2.0295608043670654
10,3574,1.9758678674697876,,,,,,,
11,3599,,1.8675447702407837,,,,,,
11,3649,,1.97055184841156,,,,,,
11,3699,,1.9905242919921875,,,,,,
11,3749,,2.0715770721435547,,,,,,
11,3799,,1.9817230701446533,,,,,,
11,3849,,1.9390475749969482,,,,,,
11,3899,,2.008789539337158,,,,,,
11,3899,,,3.0771725177764893,0.013084247708320618,1.0703332424163818,11.425518035888672,0.013140415772795677,2.016826868057251
11,3899,1.9631096124649048,,,,,,,
